 Loading checkpoint shards:   0%|                                                                                                                                                | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|████████████████████████████████████████████████████████████████████                                                                    | 1/2 [00:01<00:01,  1.47s/it] Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.32s/it] Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.34s/it]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
{"written": 733, "sample_id": "vlguard:HOD_img_hod_004768:0:safe_instruction", "latency_ms": 283.9, "peak_vram_gib": 7.63}
{"written": 734, "sample_id": "vlguard:HOD_img_hod_004768:1:unsafe_instruction", "latency_ms": 293.4, "peak_vram_gib": 7.722}
{"written": 735, "sample_id": "vlguard:HOD_img_hod_008670:0:safe_instruction", "latency_ms": 283.1, "peak_vram_gib": 7.625}
{"written": 736, "sample_id": "vlguard:HOD_img_hod_008670:1:unsafe_instruction", "latency_ms": 291.2, "peak_vram_gib": 7.72}
{"written": 737, "sample_id": "vlguard:HOD_img_hod_008340:0:unsafe_image", "latency_ms": 352.3, "peak_vram_gib": 7.721}
{"written": 738, "sample_id": "vlguard:HOD_img_hod_008036:0:safe_instruction", "latency_ms": 273.0, "peak_vram_gib": 7.598}
{"written": 739, "sample_id": "vlguard:HOD_img_hod_008036:1:unsafe_instruction", "latency_ms": 282.0, "peak_vram_gib": 7.64}
{"written": 740, "sample_id": "vlguard:HOD_img_hod_009759:0:unsafe_image", "latency_ms": 284.6, "peak_vram_gib": 7.625}
{"written": 741, "sample_id": "vlguard:HOD_img_hod_009666:0:safe_instruction", "latency_ms": 282.1, "peak_vram_gib": 7.64}
{"written": 742, "sample_id": "vlguard:HOD_img_hod_009666:1:unsafe_instruction", "latency_ms": 283.4, "peak_vram_gib": 7.631}
{"written": 743, "sample_id": "vlguard:HOD_img_hod_007497:0:safe_instruction", "latency_ms": 286.3, "peak_vram_gib": 7.654}
{"written": 744, "sample_id": "vlguard:HOD_img_hod_007497:1:unsafe_instruction", "latency_ms": 290.3, "peak_vram_gib": 7.691}
{"written": 745, "sample_id": "vlguard:HOD_img_hod_008211:0:safe_instruction", "latency_ms": 293.6, "peak_vram_gib": 7.716}
{"written": 746, "sample_id": "vlguard:HOD_img_hod_008211:1:unsafe_instruction", "latency_ms": 281.7, "peak_vram_gib": 7.639}
{"written": 747, "sample_id": "vlguard:HOD_img_hod_001200:0:unsafe_image", "latency_ms": 284.8, "peak_vram_gib": 7.631}
{"written": 748, "sample_id": "vlguard:HOD_img_hod_010388:0:unsafe_image", "latency_ms": 286.5, "peak_vram_gib": 7.653}
{"written": 749, "sample_id": "vlguard:HOD_img_hod_001934:0:unsafe_image", "latency_ms": 271.3, "peak_vram_gib": 7.604}
{"written": 750, "sample_id": "vlguard:HOD_img_hod_001806:0:unsafe_image", "latency_ms": 285.0, "peak_vram_gib": 7.629}
{"written": 751, "sample_id": "vlguard:HOD_img_hod_010263:0:safe_instruction", "latency_ms": 283.5, "peak_vram_gib": 7.637}
{"written": 752, "sample_id": "vlguard:HOD_img_hod_010263:1:unsafe_instruction", "latency_ms": 272.5, "peak_vram_gib": 7.623}
{"written": 753, "sample_id": "vlguard:HOD_img_hod_009670:0:safe_instruction", "latency_ms": 284.6, "peak_vram_gib": 7.626}
{"written": 754, "sample_id": "vlguard:HOD_img_hod_009670:1:unsafe_instruction", "latency_ms": 282.0, "peak_vram_gib": 7.638}
{"written": 755, "sample_id": "vlguard:HOD_img_hod_010304:0:safe_instruction", "latency_ms": 286.1, "peak_vram_gib": 7.652}
{"written": 756, "sample_id": "vlguard:HOD_img_hod_010304:1:unsafe_instruction", "latency_ms": 282.5, "peak_vram_gib": 7.638}
{"written": 757, "sample_id": "vlguard:HOD_img_hod_009870:0:unsafe_image", "latency_ms": 346.2, "peak_vram_gib": 7.656}
{"written": 758, "sample_id": "vlguard:HOD_img_hod_001203:0:unsafe_image", "latency_ms": 282.1, "peak_vram_gib": 7.631}
{"written": 759, "sample_id": "vlguard:HOD_img_hod_002461:0:safe_instruction", "latency_ms": 286.4, "peak_vram_gib": 7.652}
{"written": 760, "sample_id": "vlguard:HOD_img_hod_002461:1:unsafe_instruction", "latency_ms": 285.6, "peak_vram_gib": 7.648}
{"written": 761, "sample_id": "vlguard:HOD_img_hod_004573:0:safe_instruction", "latency_ms": 282.8, "peak_vram_gib": 7.629}
{"written": 762, "sample_id": "vlguard:HOD_img_hod_004573:1:unsafe_instruction", "latency_ms": 286.1, "peak_vram_gib": 7.656}
{"written": 763, "sample_id": "vlguard:HOD_img_hod_001492:0:safe_instruction", "latency_ms": 271.8, "peak_vram_gib": 7.603}
{"written": 764, "sample_id": "vlguard:HOD_img_hod_001492:1:unsafe_instruction", "latency_ms": 283.0, "peak_vram_gib": 7.638}
{"written": 765, "sample_id": "vlguard:HOD_img_hod_008572:0:safe_instruction", "latency_ms": 283.6, "peak_vram_gib": 7.626}
{"written": 766, "sample_id": "vlguard:HOD_img_hod_008572:1:unsafe_instruction", "latency_ms": 289.2, "peak_vram_gib": 7.683}
{"written": 767, "sample_id": "vlguard:HOD_img_hod_003115:0:safe_instruction", "latency_ms": 291.8, "peak_vram_gib": 7.746}
{"written": 768, "sample_id": "vlguard:HOD_img_hod_003115:1:unsafe_instruction", "latency_ms": 286.7, "peak_vram_gib": 7.679}
{"written": 769, "sample_id": "vlguard:HOD_img_hod_005553:0:safe_instruction", "latency_ms": 288.6, "peak_vram_gib": 7.678}
{"written": 770, "sample_id": "vlguard:HOD_img_hod_005553:1:unsafe_instruction", "latency_ms": 286.5, "peak_vram_gib": 7.631}
{"written": 771, "sample_id": "vlguard:HOD_img_hod_001495:0:safe_instruction", "latency_ms": 289.8, "peak_vram_gib": 7.639}
{"written": 772, "sample_id": "vlguard:HOD_img_hod_001495:1:unsafe_instruction", "latency_ms": 289.1, "peak_vram_gib": 7.637}
{"written": 773, "sample_id": "vlguard:HOD_img_hod_010463:0:safe_instruction", "latency_ms": 283.3, "peak_vram_gib": 7.638}
{"written": 774, "sample_id": "vlguard:HOD_img_hod_010463:1:unsafe_instruction", "latency_ms": 320.7, "peak_vram_gib": 7.782}
{"written": 775, "sample_id": "vlguard:HOD_img_hod_001704:0:safe_instruction", "latency_ms": 286.3, "peak_vram_gib": 7.65}
{"written": 776, "sample_id": "vlguard:HOD_img_hod_001704:1:unsafe_instruction", "latency_ms": 281.7, "peak_vram_gib": 7.64}
{"written": 777, "sample_id": "vlguard:HOD_img_hod_000975:0:unsafe_image", "latency_ms": 349.5, "peak_vram_gib": 7.708}
{"written": 778, "sample_id": "vlguard:HOD_img_hod_003911:0:safe_instruction", "latency_ms": 271.4, "peak_vram_gib": 7.597}
{"written": 779, "sample_id": "vlguard:HOD_img_hod_003911:1:unsafe_instruction", "latency_ms": 288.2, "peak_vram_gib": 7.676}
{"written": 780, "sample_id": "vlguard:HOD_img_hod_010144:0:safe_instruction", "latency_ms": 291.1, "peak_vram_gib": 7.714}
{"written": 781, "sample_id": "vlguard:HOD_img_hod_010144:1:unsafe_instruction", "latency_ms": 283.2, "peak_vram_gib": 7.626}
{"written": 782, "sample_id": "vlguard:HOD_img_hod_003681:0:safe_instruction", "latency_ms": 274.4, "peak_vram_gib": 7.605}
{"written": 783, "sample_id": "vlguard:HOD_img_hod_003681:1:unsafe_instruction", "latency_ms": 321.9, "peak_vram_gib": 7.781}
{"written": 784, "sample_id": "vlguard:HOD_img_hod_004808:0:safe_instruction", "latency_ms": 291.6, "peak_vram_gib": 7.652}
{"written": 785, "sample_id": "vlguard:HOD_img_hod_004808:1:unsafe_instruction", "latency_ms": 294.9, "peak_vram_gib": 7.679}
{"written": 786, "sample_id": "vlguard:HOD_img_hod_000648:0:unsafe_image", "latency_ms": 319.3, "peak_vram_gib": 7.714}
{"written": 787, "sample_id": "vlguard:HOD_img_hod_001868:0:unsafe_image", "latency_ms": 282.3, "peak_vram_gib": 7.637}
{"written": 788, "sample_id": "vlguard:HOD_img_hod_005115:0:unsafe_image", "latency_ms": 286.1, "peak_vram_gib": 7.656}
{"written": 789, "sample_id": "vlguard:HOD_img_hod_004887:0:safe_instruction", "latency_ms": 289.5, "peak_vram_gib": 7.684}
{"written": 790, "sample_id": "vlguard:HOD_img_hod_004887:1:unsafe_instruction", "latency_ms": 281.7, "peak_vram_gib": 7.626}
{"written": 791, "sample_id": "vlguard:HOD_img_hod_000656:0:safe_instruction", "latency_ms": 291.5, "peak_vram_gib": 7.691}
{"written": 792, "sample_id": "vlguard:HOD_img_hod_000656:1:unsafe_instruction", "latency_ms": 289.4, "peak_vram_gib": 7.699}
{"written": 793, "sample_id": "vlguard:HOD_img_hod_005964:0:unsafe_image", "latency_ms": 284.2, "peak_vram_gib": 7.625}
{"written": 794, "sample_id": "vlguard:HOD_img_hod_001365:0:unsafe_image", "latency_ms": 287.1, "peak_vram_gib": 7.67}
{"written": 795, "sample_id": "vlguard:HOD_img_hod_002031:0:unsafe_image", "latency_ms": 311.9, "peak_vram_gib": 7.642}
{"written": 796, "sample_id": "vlguard:HOD_img_hod_008677:0:safe_instruction", "latency_ms": 326.2, "peak_vram_gib": 7.626}
{"written": 797, "sample_id": "vlguard:HOD_img_hod_008677:1:unsafe_instruction", "latency_ms": 291.7, "peak_vram_gib": 7.733}
{"written": 798, "sample_id": "vlguard:HOD_img_hod_009468:0:safe_instruction", "latency_ms": 271.9, "peak_vram_gib": 7.604}
{"written": 799, "sample_id": "vlguard:HOD_img_hod_009468:1:unsafe_instruction", "latency_ms": 283.0, "peak_vram_gib": 7.626}
{"written": 800, "sample_id": "vlguard:HOD_img_hod_006491:0:safe_instruction", "latency_ms": 286.1, "peak_vram_gib": 7.644}
{"written": 801, "sample_id": "vlguard:HOD_img_hod_006491:1:unsafe_instruction", "latency_ms": 308.2, "peak_vram_gib": 7.729}
{"written": 802, "sample_id": "vlguard:HOD_img_hod_001282:0:safe_instruction", "latency_ms": 286.1, "peak_vram_gib": 7.654}
{"written": 803, "sample_id": "vlguard:HOD_img_hod_001282:1:unsafe_instruction", "latency_ms": 282.1, "peak_vram_gib": 7.639}
{"written": 804, "sample_id": "vlguard:HOD_img_hod_004637:0:safe_instruction", "latency_ms": 286.4, "peak_vram_gib": 7.654}
{"written": 805, "sample_id": "vlguard:HOD_img_hod_004637:1:unsafe_instruction", "latency_ms": 284.0, "peak_vram_gib": 7.637}
{"written": 806, "sample_id": "vlguard:HOD_img_hod_009118:0:safe_instruction", "latency_ms": 271.0, "peak_vram_gib": 7.6}
{"written": 807, "sample_id": "vlguard:HOD_img_hod_009118:1:unsafe_instruction", "latency_ms": 282.5, "peak_vram_gib": 7.636}
{"written": 808, "sample_id": "vlguard:HOD_img_hod_010454:0:safe_instruction", "latency_ms": 292.1, "peak_vram_gib": 7.733}
{"written": 809, "sample_id": "vlguard:HOD_img_hod_010454:1:unsafe_instruction", "latency_ms": 286.6, "peak_vram_gib": 7.658}
{"written": 810, "sample_id": "vlguard:HOD_img_hod_002766:0:safe_instruction", "latency_ms": 281.1, "peak_vram_gib": 7.64}
{"written": 811, "sample_id": "vlguard:HOD_img_hod_002766:1:unsafe_instruction", "latency_ms": 271.0, "peak_vram_gib": 7.623}
{"written": 812, "sample_id": "vlguard:HOD_img_hod_008458:0:safe_instruction", "latency_ms": 307.9, "peak_vram_gib": 7.718}
{"written": 813, "sample_id": "vlguard:HOD_img_hod_008458:1:unsafe_instruction", "latency_ms": 287.7, "peak_vram_gib": 7.679}
{"written": 814, "sample_id": "vlguard:HOD_img_hod_009624:0:safe_instruction", "latency_ms": 281.7, "peak_vram_gib": 7.64}
{"written": 815, "sample_id": "vlguard:HOD_img_hod_009624:1:unsafe_instruction", "latency_ms": 283.6, "peak_vram_gib": 7.63}
{"written": 816, "sample_id": "vlguard:HOD_img_hod_003783:0:safe_instruction", "latency_ms": 289.9, "peak_vram_gib": 7.684}
{"written": 817, "sample_id": "vlguard:HOD_img_hod_003783:1:unsafe_instruction", "latency_ms": 287.6, "peak_vram_gib": 7.68}
{"written": 818, "sample_id": "vlguard:HOD_img_hod_001573:0:unsafe_image", "latency_ms": 282.0, "peak_vram_gib": 7.637}
{"written": 819, "sample_id": "vlguard:HOD_img_hod_001447:0:safe_instruction", "latency_ms": 287.7, "peak_vram_gib": 7.679}
{"written": 820, "sample_id": "vlguard:HOD_img_hod_001447:1:unsafe_instruction", "latency_ms": 281.1, "peak_vram_gib": 7.643}
{"written": 821, "sample_id": "vlguard:HOD_img_hod_006267:0:safe_instruction", "latency_ms": 286.6, "peak_vram_gib": 7.658}
{"written": 822, "sample_id": "vlguard:HOD_img_hod_006267:1:unsafe_instruction", "latency_ms": 282.4, "peak_vram_gib": 7.638}
{"written": 823, "sample_id": "vlguard:HOD_img_hod_010331:0:unsafe_image", "latency_ms": 282.6, "peak_vram_gib": 7.626}
{"written": 824, "sample_id": "vlguard:HOD_img_hod_006939:0:safe_instruction", "latency_ms": 288.0, "peak_vram_gib": 7.67}
{"written": 825, "sample_id": "vlguard:HOD_img_hod_006939:1:unsafe_instruction", "latency_ms": 282.5, "peak_vram_gib": 7.629}
{"written": 826, "sample_id": "vlguard:HOD_img_hod_001236:0:unsafe_image", "latency_ms": 282.8, "peak_vram_gib": 7.637}
{"written": 827, "sample_id": "vlguard:HOD_img_hod_000090:0:safe_instruction", "latency_ms": 292.0, "peak_vram_gib": 7.733}
{"written": 828, "sample_id": "vlguard:HOD_img_hod_000090:1:unsafe_instruction", "latency_ms": 287.5, "peak_vram_gib": 7.65}
{"written": 829, "sample_id": "vlguard:HOD_img_hod_006539:0:safe_instruction", "latency_ms": 292.9, "peak_vram_gib": 7.71}
{"written": 830, "sample_id": "vlguard:HOD_img_hod_006539:1:unsafe_instruction", "latency_ms": 282.1, "peak_vram_gib": 7.642}
{"written": 831, "sample_id": "vlguard:HOD_img_hod_009886:0:unsafe_image", "latency_ms": 283.9, "peak_vram_gib": 7.631}
{"written": 832, "sample_id": "vlguard:HOD_img_hod_010242:0:unsafe_image", "latency_ms": 284.4, "peak_vram_gib": 7.638}
{"written": 833, "sample_id": "vlguard:HOD_img_hod_004669:0:safe_instruction", "latency_ms": 286.1, "peak_vram_gib": 7.65}
{"written": 834, "sample_id": "vlguard:HOD_img_hod_004669:1:unsafe_instruction", "latency_ms": 287.4, "peak_vram_gib": 7.668}
{"written": 835, "sample_id": "vlguard:HOD_img_hod_003922:0:unsafe_image", "latency_ms": 290.1, "peak_vram_gib": 7.692}
{"written": 836, "sample_id": "vlguard:HOD_img_hod_002651:0:unsafe_image", "latency_ms": 348.6, "peak_vram_gib": 7.67}
{"written": 837, "sample_id": "vlguard:HOD_img_hod_003128:0:safe_instruction", "latency_ms": 289.0, "peak_vram_gib": 7.65}
{"written": 838, "sample_id": "vlguard:HOD_img_hod_003128:1:unsafe_instruction", "latency_ms": 273.3, "peak_vram_gib": 7.606}
{"written": 839, "sample_id": "vlguard:HOD_img_hod_005185:0:unsafe_image", "latency_ms": 291.2, "peak_vram_gib": 7.678}
{"written": 840, "sample_id": "vlguard:HOD_img_hod_004298:0:safe_instruction", "latency_ms": 288.9, "peak_vram_gib": 7.655}
{"written": 841, "sample_id": "vlguard:HOD_img_hod_004298:1:unsafe_instruction", "latency_ms": 323.0, "peak_vram_gib": 7.788}
{"written": 842, "sample_id": "vlguard:HOD_img_hod_004683:0:unsafe_image", "latency_ms": 310.4, "peak_vram_gib": 7.76}
{"written": 843, "sample_id": "vlguard:HOD_img_hod_005378:0:unsafe_image", "latency_ms": 272.1, "peak_vram_gib": 7.623}
{"written": 844, "sample_id": "vlguard:HOD_img_hod_003297:0:safe_instruction", "latency_ms": 272.2, "peak_vram_gib": 7.603}
{"written": 845, "sample_id": "vlguard:HOD_img_hod_003297:1:unsafe_instruction", "latency_ms": 289.8, "peak_vram_gib": 7.679}
{"written": 846, "sample_id": "vlguard:HOD_img_hod_001582:0:unsafe_image", "latency_ms": 285.6, "peak_vram_gib": 7.629}
{"written": 847, "sample_id": "vlguard:HOD_img_hod_001256:0:unsafe_image", "latency_ms": 346.0, "peak_vram_gib": 7.653}
{"written": 848, "sample_id": "vlguard:HOD_img_hod_008885:0:safe_instruction", "latency_ms": 290.3, "peak_vram_gib": 7.708}
{"written": 849, "sample_id": "vlguard:HOD_img_hod_008885:1:unsafe_instruction", "latency_ms": 308.6, "peak_vram_gib": 7.76}
{"written": 850, "sample_id": "vlguard:HOD_img_hod_005909:0:unsafe_image", "latency_ms": 283.1, "peak_vram_gib": 7.64}
{"written": 851, "sample_id": "vlguard:HOD_img_hod_006589:0:safe_instruction", "latency_ms": 271.7, "peak_vram_gib": 7.603}
{"written": 852, "sample_id": "vlguard:HOD_img_hod_006589:1:unsafe_instruction", "latency_ms": 288.9, "peak_vram_gib": 7.652}
{"written": 853, "sample_id": "vlguard:HOD_img_hod_002426:0:unsafe_image", "latency_ms": 324.4, "peak_vram_gib": 7.825}
{"written": 854, "sample_id": "vlguard:HOD_img_hod_003630:0:unsafe_image", "latency_ms": 389.8, "peak_vram_gib": 7.734}
{"written": 855, "sample_id": "vlguard:HOD_img_hod_006035:0:unsafe_image", "latency_ms": 351.9, "peak_vram_gib": 7.7}
{"written": 856, "sample_id": "vlguard:HOD_img_hod_005236:0:safe_instruction", "latency_ms": 281.6, "peak_vram_gib": 7.64}
{"written": 857, "sample_id": "vlguard:HOD_img_hod_005236:1:unsafe_instruction", "latency_ms": 370.7, "peak_vram_gib": 8.021}
{"written": 858, "sample_id": "vlguard:HOD_img_hod_003941:0:unsafe_image", "latency_ms": 284.6, "peak_vram_gib": 7.638}
{"written": 859, "sample_id": "vlguard:HOD_img_hod_000782:0:safe_instruction", "latency_ms": 292.2, "peak_vram_gib": 7.719}
{"written": 860, "sample_id": "vlguard:HOD_img_hod_000782:1:unsafe_instruction", "latency_ms": 285.6, "peak_vram_gib": 7.631}
{"written": 861, "sample_id": "vlguard:HOD_img_hod_010298:0:unsafe_image", "latency_ms": 281.8, "peak_vram_gib": 7.643}
{"written": 862, "sample_id": "vlguard:HOD_img_hod_000137:0:safe_instruction", "latency_ms": 290.1, "peak_vram_gib": 7.673}
{"written": 863, "sample_id": "vlguard:HOD_img_hod_000137:1:unsafe_instruction", "latency_ms": 282.4, "peak_vram_gib": 7.629}
{"written": 864, "sample_id": "vlguard:HOD_img_hod_006513:0:safe_instruction", "latency_ms": 281.0, "peak_vram_gib": 7.64}
{"written": 865, "sample_id": "vlguard:HOD_img_hod_006513:1:unsafe_instruction", "latency_ms": 283.9, "peak_vram_gib": 7.63}
{"written": 866, "sample_id": "vlguard:HOD_img_hod_001965:0:safe_instruction", "latency_ms": 308.5, "peak_vram_gib": 7.736}
{"written": 867, "sample_id": "vlguard:HOD_img_hod_001965:1:unsafe_instruction", "latency_ms": 281.3, "peak_vram_gib": 7.64}
{"written": 868, "sample_id": "vlguard:HOD_img_hod_004712:0:safe_instruction", "latency_ms": 272.7, "peak_vram_gib": 7.597}
{"written": 869, "sample_id": "vlguard:HOD_img_hod_004712:1:unsafe_instruction", "latency_ms": 309.5, "peak_vram_gib": 7.723}
{"written": 870, "sample_id": "vlguard:HOD_img_hod_001483:0:safe_instruction", "latency_ms": 282.5, "peak_vram_gib": 7.623}
{"written": 871, "sample_id": "vlguard:HOD_img_hod_001483:1:unsafe_instruction", "latency_ms": 287.1, "peak_vram_gib": 7.636}
{"written": 872, "sample_id": "vlguard:HOD_img_hod_009832:0:unsafe_image", "latency_ms": 281.4, "peak_vram_gib": 7.64}
{"written": 873, "sample_id": "vlguard:HOD_img_hod_010155:0:unsafe_image", "latency_ms": 287.5, "peak_vram_gib": 7.653}
{"written": 874, "sample_id": "vlguard:HOD_img_hod_000515:0:unsafe_image", "latency_ms": 285.6, "peak_vram_gib": 7.637}
{"written": 875, "sample_id": "vlguard:HOD_img_hod_009863:0:safe_instruction", "latency_ms": 287.9, "peak_vram_gib": 7.68}
{"written": 876, "sample_id": "vlguard:HOD_img_hod_009863:1:unsafe_instruction", "latency_ms": 283.0, "peak_vram_gib": 7.637}
{"written": 877, "sample_id": "vlguard:HOD_img_hod_005559:0:safe_instruction", "latency_ms": 283.9, "peak_vram_gib": 7.63}
{"written": 878, "sample_id": "vlguard:HOD_img_hod_005559:1:unsafe_instruction", "latency_ms": 287.5, "peak_vram_gib": 7.656}
{"written": 879, "sample_id": "vlguard:HOD_img_hod_005154:0:unsafe_image", "latency_ms": 287.8, "peak_vram_gib": 7.65}
{"written": 880, "sample_id": "vlguard:HOD_img_hod_005005:0:unsafe_image", "latency_ms": 284.4, "peak_vram_gib": 7.637}
{"written": 881, "sample_id": "vlguard:HOD_img_hod_010240:0:unsafe_image", "latency_ms": 326.8, "peak_vram_gib": 7.844}
{"written": 882, "sample_id": "vlguard:HOD_img_hod_008160:0:safe_instruction", "latency_ms": 292.9, "peak_vram_gib": 7.72}
{"written": 883, "sample_id": "vlguard:HOD_img_hod_008160:1:unsafe_instruction", "latency_ms": 289.2, "peak_vram_gib": 7.671}
{"written": 884, "sample_id": "vlguard:HOD_img_hod_000558:0:unsafe_image", "latency_ms": 386.8, "peak_vram_gib": 8.019}
{"written": 885, "sample_id": "vlguard:HOD_img_hod_010064:0:unsafe_image", "latency_ms": 330.5, "peak_vram_gib": 7.596}
{"written": 886, "sample_id": "vlguard:HOD_img_hod_004937:0:unsafe_image", "latency_ms": 407.4, "peak_vram_gib": 7.648}
{"written": 887, "sample_id": "vlguard:HOD_img_hod_001989:0:unsafe_image", "latency_ms": 281.0, "peak_vram_gib": 7.641}
{"written": 888, "sample_id": "vlguard:HOD_img_hod_002698:0:safe_instruction", "latency_ms": 281.8, "peak_vram_gib": 7.623}
{"written": 889, "sample_id": "vlguard:HOD_img_hod_002698:1:unsafe_instruction", "latency_ms": 285.0, "peak_vram_gib": 7.636}
{"written": 890, "sample_id": "vlguard:HOD_img_hod_001684:0:unsafe_image", "latency_ms": 271.2, "peak_vram_gib": 7.605}
{"written": 891, "sample_id": "vlguard:HOD_img_hod_005977:0:unsafe_image", "latency_ms": 283.0, "peak_vram_gib": 7.626}
{"written": 892, "sample_id": "vlguard:HOD_img_hod_001585:0:safe_instruction", "latency_ms": 290.0, "peak_vram_gib": 7.679}
{"written": 893, "sample_id": "vlguard:HOD_img_hod_001585:1:unsafe_instruction", "latency_ms": 282.7, "peak_vram_gib": 7.638}
{"written": 894, "sample_id": "vlguard:HOD_img_hod_000762:0:unsafe_image", "latency_ms": 291.2, "peak_vram_gib": 7.722}
{"written": 895, "sample_id": "vlguard:HOD_img_hod_001560:0:unsafe_image", "latency_ms": 283.3, "peak_vram_gib": 7.642}
{"written": 896, "sample_id": "vlguard:HOD_img_hod_001176:0:unsafe_image", "latency_ms": 309.4, "peak_vram_gib": 7.752}
{"written": 897, "sample_id": "vlguard:HOD_img_hod_004455:0:safe_instruction", "latency_ms": 283.4, "peak_vram_gib": 7.62}
{"written": 898, "sample_id": "vlguard:HOD_img_hod_004455:1:unsafe_instruction", "latency_ms": 287.4, "peak_vram_gib": 7.652}
{"written": 899, "sample_id": "vlguard:HOD_img_hod_003117:0:unsafe_image", "latency_ms": 288.3, "peak_vram_gib": 7.649}
{"written": 900, "sample_id": "vlguard:HOD_img_hod_009166:0:safe_instruction", "latency_ms": 286.9, "peak_vram_gib": 7.664}
{"written": 901, "sample_id": "vlguard:HOD_img_hod_009166:1:unsafe_instruction", "latency_ms": 283.8, "peak_vram_gib": 7.638}
{"written": 902, "sample_id": "vlguard:HOD_img_hod_008980:0:safe_instruction", "latency_ms": 289.0, "peak_vram_gib": 7.683}
{"written": 903, "sample_id": "vlguard:HOD_img_hod_008980:1:unsafe_instruction", "latency_ms": 309.4, "peak_vram_gib": 7.746}
{"written": 904, "sample_id": "vlguard:HOD_img_hod_004115:0:unsafe_image", "latency_ms": 353.1, "peak_vram_gib": 7.721}
{"written": 905, "sample_id": "vlguard:HOD_img_hod_008531:0:safe_instruction", "latency_ms": 285.2, "peak_vram_gib": 7.653}
{"written": 906, "sample_id": "vlguard:HOD_img_hod_008531:1:unsafe_instruction", "latency_ms": 289.5, "peak_vram_gib": 7.697}
{"written": 907, "sample_id": "vlguard:HOD_img_hod_001920:0:unsafe_image", "latency_ms": 283.8, "peak_vram_gib": 7.637}
{"written": 908, "sample_id": "vlguard:HOD_img_hod_005279:0:safe_instruction", "latency_ms": 286.5, "peak_vram_gib": 7.675}
{"written": 909, "sample_id": "vlguard:HOD_img_hod_005279:1:unsafe_instruction", "latency_ms": 309.2, "peak_vram_gib": 7.771}
{"written": 910, "sample_id": "vlguard:HOD_img_hod_002996:0:safe_instruction", "latency_ms": 273.9, "peak_vram_gib": 7.606}
{"written": 911, "sample_id": "vlguard:HOD_img_hod_002996:1:unsafe_instruction", "latency_ms": 283.4, "peak_vram_gib": 7.638}
{"written": 912, "sample_id": "vlguard:HOD_img_hod_004670:0:safe_instruction", "latency_ms": 272.8, "peak_vram_gib": 7.602}
{"written": 913, "sample_id": "vlguard:HOD_img_hod_004670:1:unsafe_instruction", "latency_ms": 287.6, "peak_vram_gib": 7.683}
{"written": 914, "sample_id": "vlguard:HOD_img_hod_002619:0:safe_instruction", "latency_ms": 284.5, "peak_vram_gib": 7.632}
{"written": 915, "sample_id": "vlguard:HOD_img_hod_002619:1:unsafe_instruction", "latency_ms": 282.8, "peak_vram_gib": 7.632}
{"written": 916, "sample_id": "vlguard:HOD_img_hod_003727:0:unsafe_image", "latency_ms": 287.1, "peak_vram_gib": 7.638}
{"written": 917, "sample_id": "vlguard:HOD_img_hod_004473:0:safe_instruction", "latency_ms": 285.8, "peak_vram_gib": 7.639}
{"written": 918, "sample_id": "vlguard:HOD_img_hod_004473:1:unsafe_instruction", "latency_ms": 283.2, "peak_vram_gib": 7.637}
{"written": 919, "sample_id": "vlguard:HOD_img_hod_008936:0:safe_instruction", "latency_ms": 288.6, "peak_vram_gib": 7.679}
{"written": 920, "sample_id": "vlguard:HOD_img_hod_008936:1:unsafe_instruction", "latency_ms": 282.3, "peak_vram_gib": 7.639}
{"written": 921, "sample_id": "vlguard:HOD_img_hod_001990:0:unsafe_image", "latency_ms": 284.9, "peak_vram_gib": 7.599}
{"written": 922, "sample_id": "vlguard:HOD_img_hod_009798:0:safe_instruction", "latency_ms": 366.8, "peak_vram_gib": 7.654}
{"written": 923, "sample_id": "vlguard:HOD_img_hod_009798:1:unsafe_instruction", "latency_ms": 296.6, "peak_vram_gib": 7.632}
{"written": 924, "sample_id": "vlguard:HOD_img_hod_000101:0:safe_instruction", "latency_ms": 290.8, "peak_vram_gib": 7.652}
{"written": 925, "sample_id": "vlguard:HOD_img_hod_000101:1:unsafe_instruction", "latency_ms": 290.4, "peak_vram_gib": 7.648}
{"written": 926, "sample_id": "vlguard:HOD_img_hod_000246:0:unsafe_image", "latency_ms": 311.0, "peak_vram_gib": 7.756}
{"written": 927, "sample_id": "vlguard:HOD_img_hod_004908:0:safe_instruction", "latency_ms": 272.9, "peak_vram_gib": 7.623}
{"written": 928, "sample_id": "vlguard:HOD_img_hod_004908:1:unsafe_instruction", "latency_ms": 282.0, "peak_vram_gib": 7.623}
{"written": 929, "sample_id": "vlguard:HOD_img_hod_003203:0:safe_instruction", "latency_ms": 273.0, "peak_vram_gib": 7.607}
{"written": 930, "sample_id": "vlguard:HOD_img_hod_003203:1:unsafe_instruction", "latency_ms": 286.5, "peak_vram_gib": 7.653}
{"written": 931, "sample_id": "vlguard:HOD_img_hod_009633:0:safe_instruction", "latency_ms": 273.1, "peak_vram_gib": 7.601}
